Genera,Geographic Location,latitude,longtitude
Curtovirus,USA,39.7837304,-100.445882
Curtovirus,Mexico,23.6585116,-102.0077097
Curtovirus,Iran,32.6475314,54.5643516
Citlodavirus,China,32,117
Citlodavirus,Brazil,-10.3333333,-53.2
Citlodavirus,Turkey,41.1218871,42.0684364
Citlodavirus,Thailand,14.8971921,100.83273
Grablovirus,Iran,35.9413239,50.7884216
Grablovirus,Italy,42.6384261,12.674297
Grablovirus,Canada,61.0666922,-107.991707
Grablovirus,China,35.000074,104.999927
Grablovirus,India,22.3511148,78.6677428
Grablovirus,Turkey,38.9597594,34.9249653
Grablovirus,Hungary,45.89673872,17.86701349
Grablovirus,Kazakhstan,48.1012954,66.7780818
Grablovirus,France,45.6886292,5.9146362
Grablovirus,South Africa,-28.8166236,24.991639
Grablovirus,Pakistan,28,66
Grablovirus,Poland,52.215933,19.134422
Grablovirus,South Korea,36.638392,127.6961188
Grablovirus,USA,34.048928,-111.093731
Grablovirus,Argentina,-34.9964963,-64.9672817
Grablovirus,Mexico,16.5000001,-92.5000001
Opunvirus,USA,36.778261,-119.417932
Opunvirus,Mexico,20.5,-99
Topilevirus,Argentina,-28.5073653,-59.0452284
Topilevirus,Brazil,-23.5390523,-47.4322021
Topocuvirus,China,26.5450001,117.842778
Turncurtovirus,Iran,37.9211202,46.6821517
Turncurtovirus,Pakistan,30.3308401,71.247499
Becurtovirus,USA,27.664827,-81.515754
Becurtovirus,South Africa,-29.883333,31.049999
Becurtovirus,Iran,37.1515627,49.6389743
Becurtovirus,Turkey,40.5196199,28.8280114
Capulavirus,Argentina,-30.8674847,-62.0368545
Capulavirus,China,23.1357694,113.1982688
Capulavirus,Finland,63.2467777,25.9209164
Capulavirus,France,50.0018022,2.6509223
Capulavirus,Greece,38.9953683,21.9877132
Capulavirus,India,21.295132,81.828232
Capulavirus,Iran,27.7198095,56.335807
Capulavirus,Italy,45.6476663,11.8665254
Capulavirus,Jordan,32.6716674,35.7507793
Capulavirus,Lebanon,34.009653,36.2117096
Capulavirus,South Africa,-33.918861,18.4233
Capulavirus,Spain,39.3260685,-4.8379791
Capulavirus,Syria,34.6401861,39.0494106
Capulavirus,Tunisia,36.85776138,10.26889373
Capulavirus,VietNam,15.9266657,107.9650855
Eragrovirus,South Africa,-33.977074,22.457581
Maldovirus,Australia,-24.7761086,134.755
Maldovirus,China,24,109
Maldovirus,France,43.3134787,3.4771629
Maldovirus,Hungary,47.9437605,20.3212889
Maldovirus,India,23.745127,91.746826
Maldovirus,Israel,30.8124247,34.8594762
Maldovirus,Japan,36.5748441,139.2394179
Maldovirus,New Zealand,-45.1299859,169.5248818
Maldovirus,South Korea,34.8568745,128.5151128
Maldovirus,Taiwan,23.9739374,120.9820179
Mulcrilevirus,China,48.0000047,127.999992
Welwivirus,Argentina,-26.071047,-65.9800655
Mastrevirus,Argentina,-46.442117,-67.5175069
Mastrevirus,Austria,47.59397,14.12456
Mastrevirus,Barbados,13.1500331,-59.5250305
Mastrevirus,Benin,9.5293472,2.2584408
Mastrevirus,Brazil,-11.409874,-41.280857
Mastrevirus,Bulgaria,42.6073975,25.4856617
Mastrevirus,Burkina Faso,12.0753083,-1.6880314
Mastrevirus,Burundi,-3.426449,29.9324519
Mastrevirus,Cameroon,4.6125522,13.1535811
Mastrevirus,Central African Republic,5.523089899,23.4445705
Mastrevirus,Chad,17.6219737,23.3133676
Mastrevirus,China,40.9975197,122.9955469
Mastrevirus,Comoros,-12.2045176,44.2832964
Mastrevirus,Czech Republic,49.7439047,15.3381061
Mastrevirus,Ecuador,-0.0606899,-90.673898
Mastrevirus,Egypt,26.2540493,29.2675469
Mastrevirus,Eritrea,15.9500319,37.9999668
Mastrevirus,Estonia,58.7523778,25.3319078
Mastrevirus,Ethiopia,10.2116702,38.6521203
Mastrevirus,Finland,60.9234094,26.7532956
Mastrevirus,France,46.603354,1.8883335
Mastrevirus,Germany,51.1638175,10.4478313
Mastrevirus,Ghana,8.0300284,-1.0800271
Mastrevirus,Guadeloupe,16.2528827,-61.5686855
Mastrevirus,Hungary,47.1817585,19.5060937
Mastrevirus,India,10.850516,76.27108
Mastrevirus,Iran,29.571858,57.301047
Mastrevirus,Italy,40.9842539,16.6210027
Mastrevirus,Jordan,29.3342245,36.0232178
Mastrevirus,Kenya,1.4419683,38.4313975
Mastrevirus,Lesotho,-29.6039267,28.3350193
Mastrevirus,Madagascar,-18.9249604,46.4416422
Mastrevirus,Mali,16.3700359,-2.2900239
Mastrevirus,Mauritius,-20.2759451,57.5703566
Mastrevirus,Mayotte,-12.8275,45.166245
Mastrevirus,Mexico,19.6666671,-88.5000001
Mastrevirus,Morocco,31.1728205,-7.3362482
Mastrevirus,Mozambique,-19.302233,34.9144977
Mastrevirus,Namibia,-23.2335499,17.3231107
Mastrevirus,Nigeria,9.6000359,7.9999721
Mastrevirus,Oman,21.0000287,57.0036901
Mastrevirus,Pakistan,25.5,69
Mastrevirus,Peru,-6.8699697,-75.0458515
Mastrevirus,Philippines,12.7503486,122.7312101
Mastrevirus,Poland,54.175919,15.583267
Mastrevirus,Puerto Rico,18.2247706,-66.4858295
Mastrevirus,Reunion,-21.1309332,55.5265771
Mastrevirus,Rwanda,-1.9646631,30.0644358
Mastrevirus,Serbia,44.1534121,20.55144
Mastrevirus,Slovenia,46.1199444,14.8153333
Mastrevirus,South Africa,-33.958252,25.619022
Mastrevirus,South Korea,35.01536,126.51336
Mastrevirus,Spain,38.2053567,-1.0408321
Mastrevirus,Sudan,14.5844444,29.4917691
Mastrevirus,Sweden,59.6749712,14.5208584
Mastrevirus,Syria,36.2878977,37.0838387
Mastrevirus,Taiwan,23.3470632,121.3036101
Mastrevirus,Tanzania,-6.5247123,35.7878438
Mastrevirus,Tunisia,33.8439408,9.400138
Mastrevirus,Turkey,36.0743026,32.8359065
Mastrevirus,Uganda,1.5333554,32.2166578
Mastrevirus,Ukraine,49.4871968,31.2718321
Mastrevirus,United Kingdom,54.7023545,-3.2765753
Mastrevirus,Uruguay,-32.8755548,-56.0201525
Mastrevirus,USA,44.068202,-114.742041
Mastrevirus,Yemen,16.3471243,47.8915271
Mastrevirus,Zambia,-14.5189121,27.5589884
Mastrevirus,Zimbabwe,-18.4554963,29.7468414
Begomovirus,Algeria,28.0000272,2.9999825
Begomovirus,Angola,-11.8775768,17.5691241
Begomovirus,Antigua and Barbuda,17.2234721,-61.9554608
Begomovirus,Argentina,-34.1636631,-58.9586837
Begomovirus,Australia,-31.8759835,147.2869493
Begomovirus,Azerbaijan,40.3936294,47.7872508
Begomovirus,Bangladesh,24.4769288,90.2934413
Begomovirus,Barbados,13.2211,-59.6257
Begomovirus,Belgium,50.6402809,4.6667145
Begomovirus,Belize,17.1204943,-88.6859028
Begomovirus,Benin,6.457623999,1.867408
Begomovirus,Bolivia,-17.0568696,-64.9912286
Begomovirus,Brazil,-5.40258,-36.954105
Begomovirus,Burkina Faso,13.1675736,-0.8262877
Begomovirus,Cambodia,12.5433216,104.8144914
Begomovirus,Cameroon,5.0577606,9.2289407
Begomovirus,Central African Republic,4.1034548,17.5653592
Begomovirus,Chad,15.6134137,19.0156172
Begomovirus,Chile,-31.7613365,-71.3187697
Begomovirus,China,33.0000001,119.9999999
Begomovirus,Colombia,4.099917,-72.9088133
Begomovirus,Comoros,-11.4,43.2667
Begomovirus,Costa Rica,10.2735633,-84.0739102
Begomovirus,Cote d'Ivoire,7.9897371,-5.5679458
Begomovirus,Cuba,23.0131338,-80.8328748
Begomovirus,Cyprus,34.9823018,33.1451285
Begomovirus,Democratic Republic of the Congo,-2.9814344,23.8222636
Begomovirus,Dominican Republic,19.0974031,-70.3028026
Begomovirus,East Timor,-8.7443169,126.063482
Begomovirus,Ecuador,-1.3397668,-79.3666965
Begomovirus,Egypt,30.3671977,32.1565462
Begomovirus,Equatorial Guinea,1.613172,10.5170357
Begomovirus,Estonia,59.4372155,24.7453688
Begomovirus,Ethiopia,7.262984399,43.5360531
Begomovirus,France,47.4110351,0.983698
Begomovirus,French Guiana,4.0039882,-52.999998
Begomovirus,French Polynesia,-17.0243749,-144.6434898
Begomovirus,Gabon,-0.8999695,11.6899699
Begomovirus,Germany,48.5908946,9.0399498
Begomovirus,Ghana,4.9762574,-2.3194533
Begomovirus,Greece,35.5120831,24.0191544
