Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
Y11023.2			PARTIAL											Phaseolus vulgaris		3885	true								2561				4		1997-07-28T00:00:00Z	GenBank		J. Stanley, John Innes Institute, Norwich Research Park, Colney, Norwich, NR4 7UH		Liu,L.,van Tonder,T.,Pietersen,G.,Davies,J.W.,Stanley,J.	2013-04-04T00:00:00Z								Bean yellow dwarf virus		57119
Y00514.1			PARTIAL														true								2690				5		1989-07-06T00:00:00Z	GenBank				Lazarowitz,S.G.	2005-04-18T00:00:00Z								Maize streak virus - A[South Africa]		268328
X94330.1			COMPLETE		Reunion	Africa								Zea mays		4577	true								2685				7		1995-12-20T00:00:00Z	GenBank		M. Peterschmitt, CIRAD, CA, 2477, Avenue du Val de Montferrand, BP 5035, 34032 Montpellier Cedex 1	France	Peterschmitt,M.,Granier,M.,Frutos,R.,Reynaud,B.	2005-02-09T00:00:00Z								Maize streak virus - [Reunion2]		268315
X86705.1			PARTIAL											Cenchrus americanus		4543	true		true					Pennisetum glaucum	1024				1		1996-06-28T00:00:00Z	GenBank		R.W. Briddon, Dept. of Virus Research, John Innes Inst., Colney Lane, Norwich, NR4 7UH		Briddon,R.W.,Lunness,P.,Bedford,I.,Chamberlin,L.C.L.,Mesfin,T.,Markham,P.G.	1996-06-28T00:00:00Z								Millet streak virus		49268
X82104.1			PARTIAL											Triticum aestivum		4565	true					French			2750				4		1994-10-11T00:00:00Z	GenBank		B. Gronenborn, Centre Nat.d.l.Recherche Scientifique, Inst. d.Sciences Vegetales, CNRS, Avenue de la Terrasse, 91190 Gif-sur-Yvette-Cedex	France	Bendahmane,M.,Schalk,H.J.,Gronenborn,B.	2005-04-18T00:00:00Z								Wheat dwarf virus		10834
X71964.1			PARTIAL											Zea mays		4577	true					originating from Zaire			992				1		1994-11-15T00:00:00Z	GenBank		R.W. Briddon, John Innes Institute, Dept of Virus Research, John Innes Centre for Plant Science Res., Colney Lane, Norwich NR4 7UH		Briddon,R.W.,Lunness,P.,Chamberlin,L.C.,Markham,P.G.	1994-11-15T00:00:00Z								Maize streak virus		10821
X71963.1			PARTIAL											Zea mays		4577	true					originating from Mauritius			990				1		1994-11-15T00:00:00Z	GenBank		R.W. Briddon, John Innes Institute, Dept of Virus Research, John Innes Centre for Plant Science Res., Colney Lane, Norwich NR4 7UH		Briddon,R.W.,Lunness,P.,Chamberlin,L.C.,Markham,P.G.	1994-11-15T00:00:00Z								Maize streak virus		10821
X71962.1			PARTIAL											Zea mays		4577	true					originating from Mozambique			992				1		1994-11-15T00:00:00Z	GenBank		R.W. Briddon, John Innes Institute, Dept of Virus Research, John Innes Centre for Plant Science Res., Colney Lane, Norwich NR4 7UH		Briddon,R.W.,Lunness,P.,Chamberlin,L.C.,Markham,P.G.	1994-11-15T00:00:00Z								Maize streak virus		10821
X71961.1			PARTIAL											Zea mays		4577	true					originating from Nigeria			992				1		1994-11-15T00:00:00Z	GenBank		R.W. Briddon, John Innes Institute, Dept of Virus Research, John Innes Centre for Plant Science Res., Colney Lane, Norwich NR4 7UH		Briddon,R.W.,Lunness,P.,Chamberlin,L.C.,Markham,P.G.	1994-11-15T00:00:00Z								Maize streak virus		10821
X71960.1			PARTIAL											Eragrostideae		147436	true					originating from Zimbabwe			917				1		1994-11-15T00:00:00Z	GenBank		R.W. Briddon, John Innes Institute, Dept of Virus Research, John Innes Centre for Plant Science Res., Colney Lane, Norwich NR4 7UH		Briddon,R.W.,Lunness,P.,Chamberlin,L.C.,Markham,P.G.	1994-11-15T00:00:00Z								Maize streak virus		10821
