,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
0,PP573856.1,,,COMPLETE,,Iran: Markazi,Asia,,,,,,,,Phaseolus vulgaris,,3885.0,True,,,,2020,SCTV/IR.HA,,,2900,,,,6,,2024-04-08T00:00:00Z,GenBank,,"Plant Pathology Department, Tarbiat Modares",Iran,"Astaraki,S.,Shamsbakhsh,M.",2024-04-08T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
1,NC_076020.1,PRJNA485481,,COMPLETE,,Pakistan: Layyah,Asia,,,,,,,,Sesamum indicum,,4182.0,True,,,,2012-07-19,SeYMV_386,plant leaf,,2964,,,,6,,2023-05-04T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Zia Ur Rehman,M.,Hameed,U.,Ilyas,M.,Iqbal,M.J.,Haider,M.S.,Brown,J.K.",2023-05-05T00:00:00Z,,,,,,,,Sesame yellow mosaic virus,,2231646
2,NC_029117.1,PRJNA485481,,COMPLETE,,Iran,Asia,,,,,,,,Brassica rapa var. rapa,,1652998.0,True,,,,2012,IR:Hom:Th2:Tur:12,,,2965,,,,6,,2016-02-05T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.",2018-08-13T00:00:00Z,,,,,,,,Turnip leaf roll virus,,1766828
4,MT041697.1,,,COMPLETE,,"Iran: Kerman, Jiroft",Asia,,,,,,,,Citrullus lanatus,,3654.0,True,,,,2019-03-02,IR:Jir:Hen1:Wat:19,plant leaf,,2972,,,,6,,2020-07-25T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.",2020-07-25T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
5,MT041696.1,,,COMPLETE,,"Iran: Kerman, Sirjan",Asia,,,,,,,,Raphanus raphanistrum,,109996.0,True,,,,2018-12-12,IR:Sir:54Jir:Rad:18,plant leaf,,2972,,,,6,,2020-07-25T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.",2020-07-25T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
7,MT041694.1,,,COMPLETE,,"Iran: Kerman, Kerman",Asia,,,,,,,,Gaillardia aristata,,55624.0,True,,,,2017-11-16,IR:Ker:D6:Bla:17,plant leaf,,2972,,,,6,,2020-07-25T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.",2020-07-25T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
8,MT041693.1,,,COMPLETE,,"Iran: Kerman, Bagher-Abad",Asia,,,,,,,,Solanum melongena,,4111.0,True,,,,2017-10-27,IR:Bag:13Ba:Egg:17,plant leaf,,2972,,,,6,,2020-07-25T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.",2020-07-25T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
11,MH595454.1,,,COMPLETE,,"Iran: Kerman, Orzoeyeh",Asia,,,,,,,,,,,True,,,,2014,IR/Orz/LH_4/14,,,2984,,,,6,,2018-11-18T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.",2018-11-18T00:00:00Z,,,,,,,,Sesame curly top virus,,2487726
23,MF536416.1,,,COMPLETE,,"Iran: Shiraz, Lapooei",Asia,,,,,,,,Datura stramonium,,4076.0,True,,,,2013-11-16,IR:Lap:L2-7:Jim:13,plant leaf,,2968,,,,6,,2018-06-18T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Kamali,M.,Heydarnejad,J.",2018-06-18T00:00:00Z,,,,,,,,Turnip curly top virus,,859650
52,KC108906.1,,,COMPLETE,,"Iran: Zafarabad, Shiraz, Fars",Asia,,,,,,,,Brassica rapa var. rapa,,1652998.0,True,,,,2012,IR:Zaf:Z5-2:Tur:12,,,2968,,,,6,,2012-12-22T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.",2012-12-22T00:00:00Z,,,,,,,,Turnip curly top virus,,859650
