Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
OR730838.1			COMPLETE		China	Asia								Medicago sativa		3879	true				2021-04-30	Yangling	plant leaf		2750				4		2023-11-13T00:00:00Z	GenBank		Northwest A&F University, College of Grassland Agriculture	China	Chen,Z.,Zhang,T.,Niu,J.,Rasel,M.,Wang,Y.,Zannat,T.,Guo,Z.	2023-11-13T00:00:00Z								Alfalfa leaf curl virus		1306546
OR233198.1			COMPLETE		Viet Nam	Asia								Phaseolus vulgaris		3885	true		true			DSMZ PV-1099		Nicotiana benthamiana	2786				6		2023-09-16T00:00:00Z	GenBank		Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures, Plant Virus Department	Germany	Knierim,D.,Margaria,P.,Menzel,W.,Winter,S.	2023-09-16T00:00:00Z								French bean severe leaf curl virus		1218727
OP748371.1			COMPLETE		China	Asia								Medicago sativa		3879	true				2021-05-21	SXTG	plant leaf		2751				7		2023-05-10T00:00:00Z	GenBank		Shanxi Agricultural University, College of Life Sciences	China	Jiang,D.	2023-05-10T00:00:00Z								Capulavirus medicagonis		1306546
ON859021.1			COMPLETE		China: ShanXi,Taigu	Asia								Medicago sativa		3879	true				2021-05	SXTG			2760				6		2023-03-06T00:00:00Z	GenBank		Life Sciences College, Shanxi Agricultural University	China	Niu,Y.,Du,J.,Zhang,L.,Wang,D.	2023-03-06T00:00:00Z								Capulavirus medicagonis		1306546
ON051015.1	PRJNA672730	SAMN16576454	PARTIAL		China	Asia											true				2018-09-15	BJFi2			735				1		2022-12-31T00:00:00Z	GenBank	SRR12917866	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-12-31T00:00:00Z								Alfalfa leaf curl virus		1306546
ON051014.1	PRJNA672730	SAMN16576454	PARTIAL		China	Asia											true				2018-09-15	BJFi3			735				1		2022-12-31T00:00:00Z	GenBank	SRR12917866	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-12-31T00:00:00Z								Alfalfa leaf curl virus		1306546
OL521658.1	PRJNA772558	SAMN22377377	PARTIAL		China	Asia								Medicago sativa		3879	true				2019-09-11	ZM1_NX1			798				1		2022-06-30T00:00:00Z	GenBank	SRR16477472	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-06-30T00:00:00Z								Alfalfa leaf curl virus		1306546
OL521657.1	PRJNA772558	SAMN22377377	PARTIAL		China	Asia								Medicago sativa		3879	true				2019-09-11	ZM1_NX1			498				1		2022-06-30T00:00:00Z	GenBank	SRR16477472	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-06-30T00:00:00Z								Alfalfa leaf curl virus		1306546
OL521656.1	PRJNA772558	SAMN22377377	PARTIAL		China	Asia								Medicago sativa		3879	true				2019-09-11	ZM1_NX2			735				1		2022-06-30T00:00:00Z	GenBank	SRR16477484	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-06-30T00:00:00Z								Alfalfa leaf curl virus		1306546
OL521655.1	PRJNA772558	SAMN22377377	PARTIAL		China	Asia								Medicago sativa		3879	true				2019-09-11	ZM1_NX1			735				1		2022-06-30T00:00:00Z	GenBank	SRR16477472	China Agricultural University, College of Grassland Science and Technology	China	Li,J.	2022-06-30T00:00:00Z								Alfalfa leaf curl virus		1306546
