Virus accessions within Maldovirus and Begomovirus,Percentage similarity to KM386645 (AGV1) based on pairwise identity,Selected virus components
KX570615,62.25724,Complete genome
KX570615,47.84314,CP of the complete genome
KX570615,59.71429,Rep of the complete genome
MG001958,63.65342,Complete genome
MG001958,47.84314,CP of the complete genome
MG001958,59.59885,Rep of the complete genome
OQ791967,62.92505,Complete genome
OQ791967,44.70588,CP of the complete genome
OQ791967,66.09195,Rep of the complete genome
OQ791968,62.22467,Complete genome
OQ791968,45.09804,CP of the complete genome
OQ791968,66.09195,Rep of the complete genome
EU487048,63.09478,Complete genome
EU487048,22.02643,CP of the complete genome
EU487048,69.25287,Rep of the complete genome
FN794201,65.03745,Complete genome
FN794201,19.13043,CP of the complete genome
FN794201,69.25287,Rep of the complete genome
KC795968,64.14142,Complete genome
KC795968,18.45494,CP of the complete genome
KC795968,70.68965,Rep of the complete genome
