Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
NC_076464.1	PRJNA485481		COMPLETE		China	Asia								Broussonetia papyrifera		172644	true				2018-05	SWU			3056				6		2023-05-04T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Qiu,Y.,Zhang,S.,Yu,H.,Xuan,Z.,Yang,L.,Zhan,B.,Murilo Zerbini,F.,Cao,M.	2023-05-06T00:00:00Z								Paper mulberry leaf curling associated virus 1		2738469
MZ420375.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu8	plant leaf		2951						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420374.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu7	plant leaf		2950						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420373.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu6	plant leaf		2951						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420372.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu5	plant leaf		2951						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420371.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu4	plant leaf		2951						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420370.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu3	plant leaf		2935						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420369.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu2	plant leaf		2935						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420368.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu10	plant leaf		2955						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420367.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mmu1	plant leaf		2956						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420366.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mat1	plant leaf		2964						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420365.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal8	plant leaf		2945						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420364.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal7	plant leaf		2956						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420363.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal6	plant leaf		2935						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420362.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal5	plant leaf		2920						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420361.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal4	plant leaf		2935						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420360.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-Mal1	plant leaf		2761						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420359.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-jszj2	plant leaf		2934						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420358.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-jszj1	plant leaf		2953						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420357.1			PARTIAL		China	Asia								Morus alba		3498					2020	V5-fj1	plant leaf		2942						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420356.1			PARTIAL		China	Asia								Morus alba		3498					2020	zjhz2	plant leaf		2966						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420355.1			PARTIAL		China	Asia								Morus alba		3498					2020	zjhz1	plant leaf		2965						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420354.1			PARTIAL		China	Asia								Morus alba		3498					2020	yn2	plant leaf		2952						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420353.1			PARTIAL		China	Asia								Morus alba		3498					2020	yn1	plant leaf		2952						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420352.1			PARTIAL		China	Asia								Morus alba		3498					2020	Mmu9	plant leaf		2951						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420351.1			PARTIAL		China	Asia								Morus alba		3498					2020	Mmu17	plant leaf		2952						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420350.1			PARTIAL		China	Asia								Morus alba		3498					2020	Mmu16	plant leaf		2952						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
MZ420349.1			PARTIAL		China	Asia								Morus alba		3498					2020	Mmu15	plant leaf		2952						2022-11-06T00:00:00Z	GenBank		Jiangsu University of Science and Technology, College of Biotechnology	China	Yu,J.,Lu,Q.	2022-11-06T00:00:00Z								Mulberry crinkle leaf virus		2845646
