Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PP789055.1			COMPLETE		Iran	Asia								Phaseolus vulgaris		3885	true				2020	SR			2848				5		2024-05-22T00:00:00Z	GenBank		Plant pathology department, Tarbiat Modares	Iran	Astaraki,S.,Shamsbakhsh,M.	2024-05-22T00:00:00Z								Beet curly top Iran virus		391228
PP573857.1			COMPLETE		Iran	Asia								Phaseolus vulgaris		3885	true				2020	BCTIV/IR.SS			2842				5		2024-04-08T00:00:00Z	GenBank		Plant Pathology Department, Tarbiat Modares	Iran	Astaraki,S.,Shamsbakhsh,M.	2024-04-08T00:00:00Z								Beet curly top Iran virus		391228
OR451599.1			PARTIAL		USA: Idaho, TwinFallsCo	North America											true				2021	LH21-962-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451598.1			PARTIAL		USA: Idaho, BinghamCo	North America											true				2021	LH21-826-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451597.1			PARTIAL		USA: Idaho, ElmoreCo	North America											true				2021	LH21-569-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451596.1			PARTIAL		USA: Idaho, ElmoreCo	North America											true				2021	LH21-568-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451595.1			PARTIAL		USA: Idaho, ElmoreCo	North America											true				2021	LH21-507-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451594.1			PARTIAL		USA: Idaho, ElmoreCo	North America											true				2021	LH21-446-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OR451593.1			PARTIAL		USA: Idaho, OwyheeCo	North America											true				2021	LH21-349-SpCTAV			420				1		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Spinach curly top Arizona virus		945225
OQ703946.1			PARTIAL		USA	North America								Beta vulgaris subsp. vulgaris		3555	true				2021				2724				4		2023-05-24T00:00:00Z	GenBank		Sugarbeet and Potato Research Unit, USDA-ARS		Ramachandran,V.,Wyatt,N.,Rivera Santiago,E.,Neher,O.,Weiland,J.,Bolton,M.	2023-05-24T00:00:00Z								Spinach curly top Arizona virus		945225
