,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
0,OR730838.1,,,COMPLETE,,China,Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2021-04-30,Yangling,plant leaf,,2750,,,,4,,2023-11-13T00:00:00Z,GenBank,,"Northwest A&F University, College of Grassland Agriculture",China,"Chen,Z.,Zhang,T.,Niu,J.,Rasel,M.,Wang,Y.,Zannat,T.,Guo,Z.",2023-11-13T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
1,OR233198.1,,,COMPLETE,,Viet Nam,Asia,,,,,,,,Phaseolus vulgaris,,3885.0,True,,True,,,DSMZ PV-1099,,Nicotiana benthamiana,2786,,,,6,,2023-09-16T00:00:00Z,GenBank,,"Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures, Plant Virus Department",Germany,"Knierim,D.,Margaria,P.,Menzel,W.,Winter,S.",2023-09-16T00:00:00Z,,,,,,,,French bean severe leaf curl virus,,1218727
3,ON859021.1,,,COMPLETE,,"China: ShanXi,Taigu",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2021-05,SXTG,,,2760,,,,6,,2023-03-06T00:00:00Z,GenBank,,"Life Sciences College, Shanxi Agricultural University",China,"Niu,Y.,Du,J.,Zhang,L.,Wang,D.",2023-03-06T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
12,NC_075080.1,PRJNA485481,,COMPLETE,,"South Africa:Western Cape, Darling",Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2010-09,Dar10,plant leaf,,2678,,,,7,,2023-05-04T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Bernardo,P.,Golden,M.,Akram,M.,Naimuddin,A.,Nadarajan,N.,Fernandez,E.,Granier,M.,Rebelo,A.G.,Peterschmitt,M.,Martin,D.P.,Roumagnac,P.",2023-05-05T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
13,NC_038477.1,PRJNA485481,,COMPLETE,,Finland: Aland archipelago,Europe,,,,,,,,Plantago lanceolata,,39414.0,True,,,,2013-08-15,ALA13_Pl11,plant leaf,,2832,,,,6,,2018-08-24T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2018-08-24T00:00:00Z,,,,,,,,Plantago lanceolata latent virus,,1830242
14,NC_030238.1,PRJNA485481,,COMPLETE,,"South Africa: Western Cape, Darling",Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2012-10-01,DAR12_CM243,plant leaf,,2683,,,,7,,2016-05-31T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2018-08-13T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
15,NC_027714.1,PRJNA485481,,COMPLETE,,"France:Camargue, Le Sambuc",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2010-06,44-1E,plant leaf,,2745,,,,7,,2015-08-18T00:00:00Z,RefSeq,,"CIRAD, BIOS",France,"Roumagnac,P.,Granier,M.,Bernardo,P.,Deshoux,M.,Ferdinand,R.,Galzi,S.,Fernandez,E.,Julian,C.,Abt,I.,Filloux,D.,Mesleard,F.,Varsani,A.,Blanc,S.,Martin,D.P.,Peterschmitt,M.",2018-08-13T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
16,NC_018453.1,PRJNA485481,,COMPLETE,,India,Asia,,,,,,,,Phaseolus vulgaris,,3885.0,True,,,,2012,FbSLSV-1,plant leaf,,2771,,,,2,,2012-08-21T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Akram,M.,Naimuddin",2018-08-13T00:00:00Z,,,,,,,,French bean severe leaf curl virus,,1218727
26,MZ042663.1,,,PARTIAL,,China: Guangdong province,Asia,,,,,,,,Vigna unguiculata,,3917.0,True,,,,2020-10-18,FbSLCV-2-GD,plant leaf,,698,,,,1,,2021-10-25T00:00:00Z,GenBank,,"Institute of Bioengineering, Guangdong Academy of Sciences, Department of Crop Stress Management",China,"Chen,L.",2021-10-25T00:00:00Z,,,,,,,,French bean severe leaf curl virus,,1218727
27,MW768736.1,,,COMPLETE,,"France: Occitanie, Montpellier",Europe,,,,,,,,Medicago arborea,,66807.0,True,,,,2019,BG2_coro_96-2,plant leaf,,2759,,,,6,,2021-05-29T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Ben Chehida,S.,Filloux,D.,Fernandez,E.,Moubset,O.,Hoareau,M.,Julian,C.,Blondin,L.,Lett,J.M.,Roumagnac,P.,Lefeuvre,P.,Lett,J.-M.",2021-05-29T00:00:00Z,,,,,,,,Trifolium virus 1,,2838317
