Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
X97203.1			PARTIAL											Beta vulgaris		161934	true								2923				7		1998-03-20T00:00:00Z	GenBank		R.W. Briddon, Dept. of Virus Research, John Innes Inst., Colney Lane, Norwich, NR4 7UH		Briddon,R.W.,Stenger,D.C.,Bedford,I.D.,Stanley,J.,Izadpanah,I.,Markham,P.G.	2005-04-18T00:00:00Z								Beet severe curly top virus - Cfh [Beta]		268959
U57490.1			PARTIAL														true								110				1		1996-06-19T00:00:00Z	GenBank		D.C. Stenger, Biological Sciences, Northern Illinois University, DeKalb, IL 60115	USA	Stenger,D.C.	2016-07-20T00:00:00Z								Beet curly top virus		10840
U56975.1			COMPLETE											Capsella bursa-pastoris		3719	true								2930				7		1996-05-30T00:00:00Z	GenBank		Northern Illinois University, Biological Sciences	USA	Stenger,D.C.,Carbonaro,D.,Duffus,J.E.,Ostrow,K.M.	2004-03-29T00:00:00Z								Beet mild curly top virus - [Worland]		268956
U49907.1			PARTIAL														true								3080				6		1996-04-04T00:00:00Z	GenBank		Drake C. Stenger, Biological Sciences, Northern Illinois University, DeKalb, IL 60115	USA	Klute,K.A.,Nadler,S.A.,Stenger,D.C.	1996-11-15T00:00:00Z								Horseradish curly top virus		46448
U02311.1			COMPLETE											Beta vulgaris		161934	true		true					Arabidopsis thaliana, Nicotiana benthamiana	2927				8		1993-10-29T00:00:00Z	GenBank		Drake C. Stenger, Biological Sciences, Northern Illinois University, DeKalb, IL 60115	USA	Stenger,D.C.	2004-03-29T00:00:00Z								Beet severe curly top virus - Cfh		268958
PP498706.1			COMPLETE		USA: Durham, NC	North America											true				2022-09-06	Duke43_SS_200	saliva, oronasopharynx		2932				7		2024-04-01T00:00:00Z	GenBank		Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics	USA	Paietta,E.N.,Kraberger,S.,Lund,M.C.,Custer,J.M.,Vargas,K.L.,Ehmke,E.E.,Yoder,A.D.,Varsani,A.	2024-04-01T00:00:00Z								Beet curly top virus		10840
OR698904.1			PARTIAL		USA: Juab County, Utah	North America								Cannabis sativa		3483	true				2023-09-01	H15			494				1		2024-01-10T00:00:00Z	GenBank		Utah Valley University, Biology	USA	Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.	2024-01-10T00:00:00Z								Beet curly top virus		10840
OR698903.1			PARTIAL		USA: Juab County, Utah	North America								Cannabis sativa		3483	true				2023-09-01	H26			473				1		2024-01-10T00:00:00Z	GenBank		Utah Valley University, Biology	USA	Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.	2024-01-10T00:00:00Z								Beet curly top virus		10840
OR698902.1			PARTIAL		USA: near Blanding, Utah	North America								Solanum jamesii		172793	true				2022-06-19	SJ1			497				1		2024-01-10T00:00:00Z	GenBank		Utah Valley University, Biology	USA	Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.	2024-01-10T00:00:00Z								Beet curly top virus		10840
OR698901.1			PARTIAL		USA: near Blanding, Utah	North America								Helianthus annuus		4232	true				2022-06-19	Sun4			495				1		2024-01-10T00:00:00Z	GenBank		Utah Valley University, Biology	USA	Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.	2024-01-10T00:00:00Z								Beet curly top virus		10840
OR698900.1			PARTIAL		USA: near Nephi, Utah	North America								Artemisia tridentata		55611	true				2023-07-08	OP3			493				1		2024-01-10T00:00:00Z	GenBank		Utah Valley University, Biology	USA	Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.	2024-01-10T00:00:00Z								Beet curly top virus		10840
OR451659.1			PARTIAL		USA: Idaho, ElmoreCo	North America											true				2020	LH20-389-COTPeCT			494				3		2023-10-10T00:00:00Z	GenBank		USDA-ARS NWISRL, Plant Pathology	USA	Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.	2024-08-07T00:00:00Z								Beet curly top virus		10840
