,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
0,X97203.1,,,PARTIAL,,,,,,,,,,,Beta vulgaris,,161934.0,True,,,,,,,,2923,,,,7.0,,1998-03-20T00:00:00Z,GenBank,,"R.W. Briddon, Dept. of Virus Research, John Innes Inst., Colney Lane, Norwich, NR4 7UH",,"Briddon,R.W.,Stenger,D.C.,Bedford,I.D.,Stanley,J.,Izadpanah,I.,Markham,P.G.",2005-04-18T00:00:00Z,,,,,,,,Beet severe curly top virus - Cfh [Beta],,268959
5,PP498706.1,,,COMPLETE,,"USA: Durham, NC",North America,,,,,,,,,,,True,,,,2022-09-06,Duke43_SS_200,"saliva, oronasopharynx",,2932,,,,7.0,,2024-04-01T00:00:00Z,GenBank,,"Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,"Paietta,E.N.,Kraberger,S.,Lund,M.C.,Custer,J.M.,Vargas,K.L.,Ehmke,E.E.,Yoder,A.D.,Varsani,A.",2024-04-01T00:00:00Z,,,,,,,,Beet curly top virus,,10840
6,OR698904.1,,,PARTIAL,,"USA: Juab County, Utah",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2023-09-01,H15,,,494,,,,1.0,,2024-01-10T00:00:00Z,GenBank,,"Utah Valley University, Biology",USA,"Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.",2024-01-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
8,OR698902.1,,,PARTIAL,,"USA: near Blanding, Utah",North America,,,,,,,,Solanum jamesii,,172793.0,True,,,,2022-06-19,SJ1,,,497,,,,1.0,,2024-01-10T00:00:00Z,GenBank,,"Utah Valley University, Biology",USA,"Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.",2024-01-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
10,OR698900.1,,,PARTIAL,,"USA: near Nephi, Utah",North America,,,,,,,,Artemisia tridentata,,55611.0,True,,,,2023-07-08,OP3,,,493,,,,1.0,,2024-01-10T00:00:00Z,GenBank,,"Utah Valley University, Biology",USA,"Bennett,E.,Frisby,M.,Hess,R.,Taylor,M.,Riggs,E.,Laney,A.",2024-01-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
11,OR451659.1,,,PARTIAL,,"USA: Idaho, ElmoreCo",North America,,,,,,,,,,,True,,,,2020,LH20-389-COTPeCT,,,494,,,,3.0,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
14,OR451656.1,,,PARTIAL,,"USA: Idaho, OwyheeCo",North America,,,,,,,,Beta vulgaris,,161934.0,True,,,,2021,LH21-S100-COT,,,521,,,,3.0,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
17,OR451653.1,,,PARTIAL,,"USA: Idaho, TwinFallsCo",North America,,,,,,,,Beta vulgaris,,161934.0,True,,,,2021,LH21-S77-COT,,,521,,,,3.0,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
20,OR451650.1,,,PARTIAL,,"USA: Idaho, MinidokaCo",North America,,,,,,,,Phaseolus vulgaris,,3885.0,True,,,,2021,LH21-B9-COT,,,521,,,,3.0,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
64,OR451606.1,,,PARTIAL,,"USA: Idaho, BinghamCo",North America,,,,,,,,,,,True,,,,2021,LH21-669-CO,,,416,,,,2.0,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
79,OR101700.1,,,PARTIAL,,USA: Washington State,North America,,,,,,,,Daucus carota,,4039.0,True,,,,2020-11,60,,,128,,,,1.0,,2023-07-18T00:00:00Z,GenBank,,"USDA-ARS, Temperate Tree Fruit and Vegetable Research Unit",USA,"Swisher Grimm,K.D.,Gorman,C.,Crosslin,J.",2023-07-18T00:00:00Z,,,,,,,,Beet curly top virus,,10840
85,OQ628293.1,,,COMPLETE,,USA,North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2017-09,NV-2017CAP057,,,2932,,,,7.0,,2023-04-23T00:00:00Z,GenBank,,"Nevada Department of Agriculture, Plant Pathology Laboratory",USA,"Schoener,J.L.,Wang,S.",2023-04-23T00:00:00Z,,,,,,,,Beet curly top virus,,10840
86,OQ068392.1,,,PARTIAL,,USA: WA,North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2021,WA_BCTx14,,,1715,,,,4.0,,2023-02-28T00:00:00Z,GenBank,,"IAREC, Washington State University, Plant Pathology",USA,"Jarugula,S.,Wagstaff,C.,Mitra,A.,Crowder,D.,Gang,D.,Rayapati,N.,Crowder,D.W.,Gang,D.R.,Rayapati,N.A.",2023-02-28T00:00:00Z,,,,,,,,Beet curly top virus,,10840
88,OP748242.1,,,COMPLETE,,"USA: Firebaugh, Fresno County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-08-17,21-621,,,2911,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
90,OP748240.1,,,COMPLETE,,USA: Utah,North America,,,,,,,,Cucurbita pepo,,3663.0,True,,,,2022-08-15,22-573,,,2930,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
94,OP748236.1,,,COMPLETE,,"USA: Fresno County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-07-05,22-417,,,2909,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
95,OP748235.1,,,COMPLETE,,"USA: Colusa County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-06-13,22-301,,,2928,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
96,OP748234.1,,,COMPLETE,,"USA: Yolo County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-06-10,22-230,,,2925,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
99,OP748231.1,,,COMPLETE,,"USA: Woodland, Yolo County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-06-05,22-196,,,2930,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
100,OP748230.1,,,COMPLETE,,"USA: Dubach Park, Yolo County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-05-27,22-160,,,2923,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
101,OP748229.1,,,COMPLETE,,"USA: Lucero, Fresno County, CA",North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2022-05-20,22-077,,,2932,,,,7.0,,2023-05-10T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",USA,"Melgarejo,T.A.,Chen,L.-F.,Wintermantel,W.M.,Gilbertson,R.L.",2023-05-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
102,OP477336.1,,,COMPLETE,,USA: Idaho,North America,,,,,,,,,,,True,,,,2021,,,,2845,,,,7.0,,2023-05-18T00:00:00Z,GenBank,,"Sugarbeet and Potato Research Unit, USDA-ARS",USA,"Ramachandran,V.,Wyatt,N.,Rivera Santiago,E.,Neher,O.,Weiland,J.,Bolton,M.",2023-05-22T00:00:00Z,,,,,,,,Beet curly top virus - PeYD,,3048512
103,OP019706.1,PRJNA948047,SAMN33874177,COMPLETE,,Mexico,North America,,,,,,,,Capsicum annuum,,4072.0,True,,,,2019,BCTV-BCS,,,2925,,,,7.0,,2023-04-10T00:00:00Z,GenBank,,"Centro de Investigaciones Biologicas del Noroeste S.C., Phytopathology",Mexico,"Vargas-Salinas,M.,Morales-Aguilar,J.J.,Ceniceros-Ojeda,E.A.,Holguin-Pena,R.J.",2023-04-10T00:00:00Z,,,,,,,,Beet curly top virus,,10840
104,OL624880.1,,,COMPLETE,,USA: Yolo,North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2021-06-05,21-237,,,2926,,,,7.0,,2022-05-02T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",,"Melgarejo,T.A.,Chen,L.F.,Rojas,M.J.,Schilder,A.,Gilbertson,R.,Gilbertson,R.L.",2022-10-26T00:00:00Z,,,,,,,,Beet curly top virus,,10840
105,OL624879.1,,,COMPLETE,,USA: Colusa,North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2021-06-02,21-154,,,2926,,,,7.0,,2022-05-02T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",,"Melgarejo,T.A.,Chen,L.F.,Rojas,M.J.,Schilder,A.,Gilbertson,R.,Gilbertson,R.L.",2022-10-26T00:00:00Z,,,,,,,,Beet curly top virus,,10840
107,OL624877.1,,,COMPLETE,,USA: Stanislaus,North America,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2021-05-31,21-106,,,2926,,,,7.0,,2022-05-02T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",,"Melgarejo,T.A.,Chen,L.F.,Rojas,M.J.,Schilder,A.,Gilbertson,R.,Gilbertson,R.L.",2022-10-26T00:00:00Z,,,,,,,,Beet curly top virus,,10840
109,OL624875.1,,,COMPLETE,,USA: San Bernardino,North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019-12-13,S5,,,2930,,,,7.0,,2022-05-02T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",,"Melgarejo,T.A.,Chen,L.F.,Rojas,M.J.,Schilder,A.,Gilbertson,R.,Gilbertson,R.L.",2022-10-26T00:00:00Z,,,,,,,,Beet curly top virus,,10840
111,OL624873.1,,,COMPLETE,,USA: Fresno,North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019-08-13,H5-1,,,2931,,,,7.0,,2022-05-02T00:00:00Z,GenBank,,"University of California, Davis, Plant Pathology",,"Melgarejo,T.A.,Chen,L.F.,Rojas,M.J.,Schilder,A.,Gilbertson,R.,Gilbertson,R.L.",2022-10-26T00:00:00Z,,,,,,,,Beet curly top virus,,10840
131,MW713376.1,,,PARTIAL,,"USA: Otero, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Otero,,,457,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
132,MW604777.1,,,PARTIAL,,"USA: Weld, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Weld,,,411,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
133,MW604776.1,,,PARTIAL,,"USA: Montrose, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Montrose2,,,480,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
134,MW604775.1,,,PARTIAL,,"USA: El Paso, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-El Paso2,,,466,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
136,MW604773.1,,,PARTIAL,,"USA: Montezuma, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Montezuma2,,,401,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
137,MW604772.1,,,PARTIAL,,"USA: Garfield, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-CO-Can-Garfield2,,,459,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
139,MW604770.1,,,PARTIAL,,"USA: Larimer, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Larimer2,,,479,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
140,MW604769.1,,,PARTIAL,,"USA: Rio Blanco, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Rio Blanco2,,,477,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
142,MW604767.1,,,PARTIAL,,"USA: Conejos, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Conejos,,,467,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
145,MW604764.1,,,PARTIAL,,"USA: Delta, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Delta2,,,410,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
148,MW604761.1,,,PARTIAL,,"USA: Pueblo, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-Pueblo,,,458,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
149,MW604760.1,,,PARTIAL,,"USA: Mesa, CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,BCTV-Can-CO-Mesa2,,,470,,,,2.0,,2021-06-16T00:00:00Z,GenBank,,"Colorado State University, Agriculture Biology",USA,"Chiginsky,J.,Albrecht,T.,Nachappa,P.",2021-06-16T00:00:00Z,,,,,,,,Beet curly top virus,,10840
160,MW188519.1,,,COMPLETE,,"USA: Cochise County, AZ",North America,,,,,,,,Capsicum annuum,,4072.0,True,,,,2020-08,BCTV-Cap-AZ,,,2929,,,,7.0,,2020-12-07T00:00:00Z,GenBank,,"The University of Arizona, School of Plant Sciences",USA,"Dickey,L.,Masson,R.,Hu,J.",2020-12-07T00:00:00Z,,,,,,,,Beet curly top virus,,10840
166,MT878075.1,,,PARTIAL,,"USA: Rio Blanco,CO",North America,,,,,,,,Cannabis sativa,,3483.0,True,,,,2019,RBC1,,,2732,,,,1.0,,2021-01-17T00:00:00Z,GenBank,,"Colorado State University, Agricultural Biology",USA,"Albrecht,T.,Chiginsky,J.,Nachappa,P.,Stenglein,M.",2021-01-17T00:00:00Z,,,,,,,,Beet curly top virus,,10840
