,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
0,PP789055.1,,,COMPLETE,,Iran,Asia,,,,,,,,Phaseolus vulgaris,,3885.0,True,,,,2020,SR,,,2848,,,,5,,2024-05-22T00:00:00Z,GenBank,,"Plant pathology department, Tarbiat Modares",Iran,"Astaraki,S.,Shamsbakhsh,M.",2024-05-22T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
2,OR451599.1,,,PARTIAL,,"USA: Idaho, TwinFallsCo",North America,,,,,,,,,,,True,,,,2021,LH21-962-SpCTAV,,,420,,,,1,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Spinach curly top Arizona virus,,945225
3,OR451598.1,,,PARTIAL,,"USA: Idaho, BinghamCo",North America,,,,,,,,,,,True,,,,2021,LH21-826-SpCTAV,,,420,,,,1,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Spinach curly top Arizona virus,,945225
4,OR451597.1,,,PARTIAL,,"USA: Idaho, ElmoreCo",North America,,,,,,,,,,,True,,,,2021,LH21-569-SpCTAV,,,420,,,,1,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Spinach curly top Arizona virus,,945225
8,OR451593.1,,,PARTIAL,,"USA: Idaho, OwyheeCo",North America,,,,,,,,,,,True,,,,2021,LH21-349-SpCTAV,,,420,,,,1,,2023-10-10T00:00:00Z,GenBank,,"USDA-ARS NWISRL, Plant Pathology",USA,"Strausbaugh,C.A.,Wenninger,E.J.,Jackson,L.,Vincill,E.",2024-08-07T00:00:00Z,,,,,,,,Spinach curly top Arizona virus,,945225
9,OQ703946.1,,,PARTIAL,,USA,North America,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,2021,,,,2724,,,,4,,2023-05-24T00:00:00Z,GenBank,,"Sugarbeet and Potato Research Unit, USDA-ARS",,"Ramachandran,V.,Wyatt,N.,Rivera Santiago,E.,Neher,O.,Weiland,J.,Bolton,M.",2023-05-24T00:00:00Z,,,,,,,,Spinach curly top Arizona virus,,945225
10,ON014774.1,,,COMPLETE,,"Iran: Neyshabur,Khorasan Razavi province",Asia,,,,,,,,Capsicum annuum,,4072.0,True,,,,2017,IR:Neyshabur/Pepper-2017,,,2845,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
11,ON014773.1,,,COMPLETE,,"Iran: Bahar village,Mashhad,Khorasan Razavi province",Asia,,,,,,,,Capsicum annuum,,4072.0,True,,,,2016,IR:Mashhad/Pepper-2016,,,2846,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
14,ON014770.1,,,COMPLETE,,"Iran: Hesar Joq village,Neyshabur,Khorasan Razavi province",Asia,,,,,,,,Spinacia oleracea,,3562.0,True,,,,2016,IR:Neyshabur/Spinach-2016,,,2846,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
15,ON014769.1,,,COMPLETE,,"Iran: Hesar Joq village,Neyshabur,Khorasan",Asia,,,,,,,,Brassica rapa var. rapa,,1652998.0,True,,,,2017,IR:Neyshabur/Turnip-2017,,,2844,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
