,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
0,PP091647.1,,,PARTIAL,,"Iran: Kashmar, Khorasan Razavi province",Asia,,,,,,,,Vitis vinifera,,29760.0,,,,,2018,Grapevine red blotch virus-coat protein-Library A9,,,263,,,,,,2024-01-30T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.",2024-01-30T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
6,OP597762.1,,,COMPLETE,,USA: FL,North America,,,,,,,,Vitis,,3603.0,True,,,,2021-10,FLBDS94,,,3181,,,,7.0,,2023-01-01T00:00:00Z,GenBank,,"Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology",USA,"Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.",2023-01-01T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
8,OP597760.1,,,COMPLETE,,USA: TX,North America,,,,,,,,Vitis,,3603.0,True,,,,2021-10,TXBDS712,,,3183,,,,7.0,,2023-01-01T00:00:00Z,GenBank,,"Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology",USA,"Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.",2023-01-01T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
15,OP434517.1,,,PARTIAL,,"USA: Lumpkin County, GA",North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2021-10-01,GA_Cabsauv_33,,,570,,,,1.0,,2023-04-18T00:00:00Z,GenBank,,"Clemson University, Plant and Environmental Sciences",USA,"Seiter,J.R.,Cieniewicz,E.J.",2023-04-18T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
49,OM135587.1,,,COMPLETE,,USA: Arizona,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2021-09,AzMVTN,,,3205,,,,6.0,,2022-02-08T00:00:00Z,GenBank,,"University of Arizona, School of Plant Sciences",USA,"Hu,J.",2022-02-08T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
51,NC_075437.1,PRJNA485481,,COMPLETE,,USA,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2015-06,WVV1-NY1298,,,3237,,,,6.0,,2023-05-04T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,,2023-05-05T00:00:00Z,,,,,,,,Wild vitis virus 1,,2025352
55,NC_017918.2,PRJNA485481,,COMPLETE,,USA: NY,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2010-11-17,JRT[456]17NOV10,,,3206,,,,5.0,,2012-05-15T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Krenz,B.,Thompson,J.R.,Fuchs,M.,Perry,K.L.",2023-05-07T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
59,MW273131.1,,,PARTIAL,,Italy,Europe,,,,,,,,Vitis vinifera,,29760.0,True,,,,2007,DALM,,,285,,,,1.0,,2022-04-13T00:00:00Z,GenBank,,"Council for Agricultural Research and Economics, Research Centre for Viticulture and Enology",Italy,"Bertazzon,N.,Migliaro,D.,Rossa,A.,Filippin,L.,Casarin,S.,Giust,M.,Crespan,M.,Angelini,E.",2022-04-13T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
75,MK928386.1,,,COMPLETE,,USA: Idaho,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2011-10-19,GRBV_IDA8_Syrah_2011,,,3206,,,,5.0,,2019-05-26T00:00:00Z,GenBank,,"University of Idaho, EPPN",USA,"Thompson,B.D.,Eid,S.,Vander Pol,D.,Lee,J.,Karasev,A.V.",2019-10-04T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
83,MK789665.1,,,PARTIAL,,USA: VA,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2011-06-01,VHHVB11RB,,,429,,,,1.0,,2019-08-04T00:00:00Z,GenBank,,"Virginia Polytechnic Institute and State University, AHS Jr. AREC, School of Plant and Environmental Sciences",USA,"Jones,T.",2019-08-04T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
