Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PQ106730.1			COMPLETE		China	Asia											true		true		2024-07-02	GGVA-SM		grapevine 'Shine Muscat'	2905				6		2024-08-06T00:00:00Z	GenBank		college of horticulture, China Agricultural University	China	Liu,C.	2024-08-06T00:00:00Z								Grapevine geminivirus A		1906317
PP397181.1			COMPLETE		China	Asia											true				2023-03-20	GGVA-ML			2905				5		2024-03-03T00:00:00Z	GenBank		college of horticulture, China Agricultural University	China	Liu,C.	2024-03-03T00:00:00Z								Grapevine geminivirus A		1906317
OR364963.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2022-06-25	QKT			2905				6		2023-10-01T00:00:00Z	GenBank		Xinjiang Agricultural University, College of Agriculture	China	Wang,S.,Liu,B.,Shan,J.,Zhang,L.,Bai,J.	2023-10-01T00:00:00Z								Grapevine geminivirus A		1906317
OR061051.1	PRJNA737529		PARTIAL		Australia	Oceania								Vitis vinifera		29760	true				2020	GGVA_N3292			1699				5		2024-05-31T00:00:00Z	GenBank		The University of Adelaide, School of Agriculture, Food and Wine	Australia	Wu,Q.,Zheng,L.,Habili,N.,Kinoti,W.M.,Constable,F.E.,Rinaldo,A.,Tyerman,S.,Tyerman,S.D.	2024-05-31T00:00:00Z								Grapevine geminivirus A		1906317
OR061050.1	PRJNA737529		PARTIAL		Australia	Oceania								Vitis vinifera		29760	true				2021	GGVA_N13503			680				1		2024-05-31T00:00:00Z	GenBank		The University of Adelaide, School of Agriculture, Food and Wine	Australia	Wu,Q.,Zheng,L.,Habili,N.,Kinoti,W.M.,Constable,F.E.,Rinaldo,A.,Tyerman,S.	2024-05-31T00:00:00Z								Grapevine geminivirus A		1906317
OQ427641.1			PARTIAL		India	Asia								Vitis vinifera		29760	true				2022-04	ANg			212				1		2023-08-01T00:00:00Z	GenBank		Indian Agricultural Research Institute, Plant Pathology	India	Kishan,G.,Kumar,R.,Sharma,S.K.,Srivastava,N.,Gupta,N.,Kumar,A.,Baranwal,V.K.	2023-08-01T00:00:00Z								Grapevine geminivirus A		1906317
ON868755.1			COMPLETE		China: Xinjiang	Asia								Vitis vinifera		29760	true				2021-09	Shihezi-1			2904				6		2023-04-23T00:00:00Z	GenBank		Shihezi University, College of Life Sciences	China	Sang,H.	2023-04-23T00:00:00Z								Grapevine geminivirus A		1906317
ON236624.1			PARTIAL		China: Xinjiang	Asia								Vitis vinifera		29760	true				2019	GGVA-9202			354				1		2023-02-04T00:00:00Z	GenBank		Shihezi University, College of Life Science	China	Sai,X.	2023-02-04T00:00:00Z								Grapevine geminivirus A		1906317
NC_037066.1	PRJNA485481		COMPLETE		France	Europe								Juncus maritimus		223671	true				2012	13-FMN-1			2740				5		2018-02-22T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Claverie,S.,Bernardo,P.,Kraberger,S.,Hartnady,P.,Lefeuvre,P.,Lett,J.-M.,Filloux,D.,Harkins,G.W.,Varsani,A.,Martin,D.P.,Roumagnac,P.	2018-08-13T00:00:00Z								Juncus maritimus associated virus		2093273
NC_031340.1	PRJNA485481		COMPLETE		Israel	Asia								Vitis vinifera		29760	true				2016-03-15	Tamar			2905				6		2016-10-13T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2018-08-13T00:00:00Z								Grapevine geminivirus A		1906317
