Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PP091647.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A9			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
PP091646.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A8			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
PP091645.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A7			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
PP091644.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A6			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
PP091643.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A5			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
PP091642.1			PARTIAL		Iran: Kashmar, Khorasan Razavi province	Asia								Vitis vinifera		29760					2018	Grapevine red blotch virus-coat protein-Library A4			263						2024-01-30T00:00:00Z	GenBank		Ferdowsi University, Plant Protection	Iran	Gholampour,Z.,Zakiaghl,M.,Asquini,E.,Moser,M.,Gualandri,V.,Mehrvar,M.,Si Ammour,A.	2024-01-30T00:00:00Z								Grapevine red blotch virus		1381007
OP597762.1			COMPLETE		USA: FL	North America								Vitis		3603	true				2021-10	FLBDS94			3181				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597761.1			COMPLETE		USA: FL	North America								Vitis		3603	true				2021-10	FLBDS92			3181				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597760.1			COMPLETE		USA: TX	North America								Vitis		3603	true				2021-10	TXBDS712			3183				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597759.1			COMPLETE		USA: TX	North America								Vitis		3603	true				2021-10	TXBDS711			3183				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597758.1			COMPLETE		USA: TX	North America								Vitis		3603	true				2021-10	TXBDS70			3183				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597757.1			COMPLETE		USA: TX	North America								Vitis		3603	true				2021-10	TXBDS66			3183				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
OP597756.1			COMPLETE		USA: TX	North America								Vitis		3603	true				2021-10	TXBDS65			3183				7		2023-01-01T00:00:00Z	GenBank		Texas A&M AgriLife Research & Extension Center, Plant Pathology & Microbiology	USA	Ouro-Djobo,A.,Stevens,K.,Scheiner,J.J.,Tsolova,V.M.,Pontasch,F.M.,McBride,S.A.,Appel,D.N.,Al Rwahnih,M.,Alabi,O.J.	2023-01-01T00:00:00Z								Grapevine red blotch virus		1381007
