Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
OP374189.1			COMPLETE		China	Asia								Morella rubra		262757	true				2020-09-04	YN			3775				6		2023-05-08T00:00:00Z	GenBank		Yunnan Agricultural University, Key Laboratory of Ministry of Education Agriculture Biodiversity for Plant Disease Management	China	Gao,L.,Anane,R.F.,Chen,Z.,He,Y.,Li,S.,Zi,S.,Yang,Z.,Chu,B.,Wen,G.,Zhao,M.,Yuan,B.	2023-05-08T00:00:00Z								Myrica rubra citlodavirus 1		3044216
ON063223.1			COMPLETE		China	Asia								Citrus maxima		37334	true				2021-10-26	WX-4-9			3641				5		2023-01-23T00:00:00Z	GenBank		Citrus Research Institute, Southwest University	China	Wang,J.J.	2023-01-23T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
ON063222.1			COMPLETE		China	Asia								Citrus maxima		37334	true				2021-10-26	WX-4-6			3640				5		2023-01-23T00:00:00Z	GenBank		Citrus Research Institute, Southwest University	China	Wang,J.J.	2023-01-23T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
ON063221.1			COMPLETE		China	Asia								Citrus maxima		37334	true				2021-10-26	WX-2-5			3642				5		2023-01-23T00:00:00Z	GenBank		Citrus Research Institute, Southwest University	China	Wang,J.J.	2023-01-23T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
OL514016.1			COMPLETE		China	Asia								Broussonetia papyrifera		172644	true				2021-06-12	JH			3756				6		2022-11-09T00:00:00Z	GenBank		Ankang University, Shaanxi Key Laboratory of Sericulture	China	Kong,W.,Yang,J.	2022-11-09T00:00:00Z								Paper mulberry leaf curling associated virus 2		2738470
OL514015.1			COMPLETE		China	Asia								Broussonetia papyrifera		172644	true				2021-06-10	HK			3756				6		2022-11-09T00:00:00Z	GenBank		Ankang University, Shaanxi Key Laboratory of Sericulture	China	Kong,W.,Yang,J.	2022-11-09T00:00:00Z								Paper mulberry leaf curling associated virus 2		2738470
OL514014.1			COMPLETE		China	Asia								Broussonetia papyrifera		172644	true				2021-06-01	JM			3756				6		2022-11-09T00:00:00Z	GenBank		Ankang University, Shaanxi Key Laboratory of Sericulture	China	Kong,W.,Yang,J.	2022-11-09T00:00:00Z								Paper mulberry leaf curling associated virus 2		2738470
NC_076465.1	PRJNA485481		COMPLETE		China	Asia								Broussonetia papyrifera		172644	true				2018-05	SWU			3763				6		2023-05-04T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Qiu,Y.,Zhang,S.,Yu,H.,Xuan,Z.,Yang,L.,Zhan,B.,Murilo Zerbini,F.,Cao,M.	2023-05-06T00:00:00Z								Paper mulberry leaf curling associated virus 2		2738470
NC_040817.1	PRJNA485481		COMPLETE		China	Asia								Camellia		4441	true					Ca-1			3687				6		2019-02-12T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Zhang,S.,Shen,P.,Li,M.,Tian,X.,Zhou,C.,Cao,M.	2019-09-12T00:00:00Z								Camellia chlorotic dwarf-associated virus		2122733
NC_040706.1	PRJNA485481		COMPLETE		Brazil	South America								Passiflora edulis		78168	true				2014	CDS_MS_BR_2014			3743				6		2019-02-12T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Fontenele,R.S.,Abreu,R.A.,Lamas,N.S.,Alves-Freitas,D.M.T.,Vidal,A.H.,Poppiel,R.R.,Melo,F.L.,Lacorte,C.,Martin,D.P.,Campos,M.A.,Varsani,A.,Ribeiro,S.G.	2019-09-12T00:00:00Z								Passion fruit chlorotic mottle virus		2162638
NC_018151.1			COMPLETE		Turkey	Asia								Citrus		2706	true				1995	TK4			3640				5		2012-07-17T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Loconsole,G.,Saldarelli,P.,Doddapaneni,H.,Savino,V.,Martelli,G.P.,Saponari,M.	2018-08-13T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413555.1			COMPLETE														true					WZ-2			3644				4		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413554.1			COMPLETE														true					WZ-1			3644				4		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413553.1			COMPLETE														true					GG-2			3642				4		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413552.1			COMPLETE														true					GG-1			3640				4		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413551.1			COMPLETE														true					WM-1			3642				5		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
MW413550.1			COMPLETE														true					LA-2			3642				5		2022-05-02T00:00:00Z	GenBank		Guangxi Academy of Agricultural Sciences, Plant Protection Research Institute	China	Li,Z.,Liu,L.,Cui,L.,Chen,J.,Zhu,Y.,Li,J.,Xie,H.,Qin,B.,Cai,J.	2022-05-02T00:00:00Z								Citrus chlorotic dwarf associated virus		1202142
