Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PP573856.1			COMPLETE		Iran: Markazi	Asia								Phaseolus vulgaris		3885	true				2020	SCTV/IR.HA			2900				6		2024-04-08T00:00:00Z	GenBank		Plant Pathology Department, Tarbiat Modares	Iran	Astaraki,S.,Shamsbakhsh,M.	2024-04-08T00:00:00Z								Sesame curly top virus		2487726
NC_076020.1	PRJNA485481		COMPLETE		Pakistan: Layyah	Asia								Sesamum indicum		4182	true				2012-07-19	SeYMV_386	plant leaf		2964				6		2023-05-04T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Zia Ur Rehman,M.,Hameed,U.,Ilyas,M.,Iqbal,M.J.,Haider,M.S.,Brown,J.K.	2023-05-05T00:00:00Z								Sesame yellow mosaic virus		2231646
NC_029117.1	PRJNA485481		COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th2:Tur:12			2965				6		2016-02-05T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2018-08-13T00:00:00Z								Turnip leaf roll virus		1766828
NC_014324.1	PRJNA485481		COMPLETE		Iran	Asia								Brassica rapa		3711	true				2006	IR:Zaf:B11:06			2981				6		2010-09-08T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Briddon,R.W.,Heydarnejad,J.,Khosrowfar,F.,Massumi,H.,Martin,D.P.,Varsani,A.	2018-08-13T00:00:00Z								Turnip curly top virus		859650
MT041697.1			COMPLETE		Iran: Kerman, Jiroft	Asia								Citrullus lanatus		3654	true				2019-03-02	IR:Jir:Hen1:Wat:19	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MT041696.1			COMPLETE		Iran: Kerman, Sirjan	Asia								Raphanus raphanistrum		109996	true				2018-12-12	IR:Sir:54Jir:Rad:18	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MT041695.1			COMPLETE		Iran: Kerman, Sirjan	Asia								Vicia faba		3906	true				2017-10-16	IR:Sir:49Sir:Fab:17	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MT041694.1			COMPLETE		Iran: Kerman, Kerman	Asia								Gaillardia aristata		55624	true				2017-11-16	IR:Ker:D6:Bla:17	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MT041693.1			COMPLETE		Iran: Kerman, Bagher-Abad	Asia								Solanum melongena		4111	true				2017-10-27	IR:Bag:13Ba:Egg:17	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MT041692.1			COMPLETE		Iran: Kerman, Jiroft	Asia								Phaseolus vulgaris		3885	true				2017-10-21	IR:Jir:26Jir:Bea:17	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
